resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,17.08062,0,0,0,1,1,stim/VC_11.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,1.940755,0,1,1,0,1,stim/VC_01.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,space,2.991235,left,3.211205,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,,,left,1.276545,0,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,,,right,1.00579,0,2,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,,,right,0.778435,0,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,,,left,0.752645,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,,,right,0.72397,0,5,5,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,,,left,0.586885,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fd954357541e7448e28d079,2021-01-20_22h38.57.803,English_step1,2020.2.3,Win32,60,,,left,0.732105,0,7,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,
